               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,             0.13076,            0.054763,            0.012028,             0.45525,             0.25281,             0.23302,            0.086496,             0.12181,            0.036657,            0.016346,           0.0095545,           0.0095545,           0.0095545
                  47,             0.13074,            0.054902,            0.011802,             0.45559,             0.25298,             0.23404,            0.087041,             0.12172,             0.03668,            0.016261,           0.0095446,           0.0095446,           0.0095446
                  48,             0.13072,            0.055102,              0.0119,             0.45228,             0.25318,             0.23418,            0.087598,             0.12164,            0.036708,            0.016234,           0.0095347,           0.0095347,           0.0095347
                  49,             0.13038,            0.055051,            0.011564,             0.48642,              0.2489,             0.23411,            0.087686,             0.12158,            0.036743,            0.016194,           0.0095248,           0.0095248,           0.0095248
                  50,             0.13057,            0.055316,             0.01192,             0.47614,             0.24686,              0.2345,            0.088143,              0.1215,            0.036732,            0.016101,           0.0095149,           0.0095149,           0.0095149
                  51,             0.13057,            0.055087,            0.011604,               0.469,             0.24996,             0.23522,            0.088603,             0.12145,            0.036789,            0.016088,            0.009505,            0.009505,            0.009505
                  52,              0.1306,            0.055241,            0.011483,             0.45814,             0.25039,              0.2363,            0.089028,              0.1214,            0.036823,            0.016048,           0.0094951,           0.0094951,           0.0094951
                  53,             0.13051,             0.05527,             0.01142,               0.453,              0.2592,             0.23711,             0.08968,             0.12135,            0.036804,            0.016021,           0.0094852,           0.0094852,           0.0094852
                  54,              0.1304,            0.055434,            0.011428,             0.45397,             0.26049,             0.23784,            0.089996,             0.12131,            0.036828,            0.015983,           0.0094753,           0.0094753,           0.0094753
                  55,             0.13039,            0.054804,            0.011613,             0.44865,             0.25902,             0.23836,            0.090436,             0.12125,            0.036848,            0.015944,           0.0094654,           0.0094654,           0.0094654
                  56,             0.13043,            0.054891,            0.011828,             0.45685,             0.26128,             0.23948,            0.090642,              0.1212,             0.03686,            0.015919,           0.0094555,           0.0094555,           0.0094555
                  57,             0.13031,            0.055864,            0.011691,              0.4613,             0.26024,              0.2404,            0.090958,             0.12115,             0.03688,            0.015876,           0.0094456,           0.0094456,           0.0094456
                  58,             0.13011,            0.055144,            0.011289,             0.45924,             0.26116,             0.24133,            0.091276,             0.12111,            0.036874,            0.015845,           0.0094357,           0.0094357,           0.0094357
                  59,             0.13023,            0.055378,            0.011075,             0.49116,             0.25099,             0.24121,            0.091657,             0.12107,            0.036889,            0.015827,           0.0094258,           0.0094258,           0.0094258
                  60,             0.13002,            0.055412,            0.011513,             0.48707,             0.25399,             0.24167,            0.092104,             0.12102,            0.036934,            0.015808,           0.0094159,           0.0094159,           0.0094159
                  61,             0.12993,            0.055735,            0.011671,             0.50568,             0.24956,             0.24217,            0.092234,             0.12098,            0.036916,            0.015788,            0.009406,            0.009406,            0.009406
                  62,             0.13039,            0.055836,            0.011106,             0.51088,               0.248,             0.24175,            0.092179,             0.12093,             0.03693,            0.015754,           0.0093961,           0.0093961,           0.0093961
                  63,             0.13022,            0.055439,            0.011292,             0.50059,              0.2514,             0.24276,            0.092754,             0.12088,            0.036967,            0.015725,           0.0093862,           0.0093862,           0.0093862
                  64,             0.13032,            0.055579,            0.011297,             0.49906,             0.25348,             0.24353,            0.093098,             0.12083,            0.036965,            0.015702,           0.0093763,           0.0093763,           0.0093763
                  65,             0.12956,            0.054954,            0.011301,             0.47244,              0.2613,             0.24479,            0.093534,             0.12079,            0.036986,            0.015681,           0.0093664,           0.0093664,           0.0093664
                  66,             0.12999,            0.055937,            0.011437,             0.41138,              0.2743,             0.24565,            0.093484,             0.12075,            0.036974,             0.01566,           0.0093565,           0.0093565,           0.0093565
                  67,             0.12948,            0.055688,            0.010974,             0.41939,             0.27275,             0.24682,            0.093772,              0.1207,            0.036968,             0.01562,           0.0093466,           0.0093466,           0.0093466
                  68,             0.12982,            0.055467,            0.010769,             0.43814,              0.2687,             0.24718,            0.094075,             0.12066,            0.036968,            0.015592,           0.0093367,           0.0093367,           0.0093367
                  69,             0.13008,            0.055639,            0.011057,             0.44277,             0.26689,              0.2466,            0.094199,             0.12062,            0.036969,            0.015578,           0.0093268,           0.0093268,           0.0093268
                  70,             0.12968,            0.055229,            0.010912,             0.44495,             0.26654,             0.24702,            0.094873,             0.12058,            0.036986,            0.015545,           0.0093169,           0.0093169,           0.0093169
                  71,             0.12985,            0.055776,            0.010706,             0.44772,             0.26659,             0.24851,            0.095471,             0.12053,            0.036997,            0.015516,            0.009307,            0.009307,            0.009307
                  72,             0.12957,            0.055988,             0.01148,             0.44964,              0.2669,             0.24884,            0.095671,             0.12048,            0.037017,            0.015503,           0.0092971,           0.0092971,           0.0092971
                  73,             0.12963,            0.055514,            0.011199,             0.46182,             0.26426,             0.24967,            0.095844,             0.12044,            0.037015,            0.015497,           0.0092872,           0.0092872,           0.0092872
                  74,             0.12995,             0.05571,             0.01065,             0.46448,             0.26307,             0.24989,            0.095983,              0.1204,             0.03704,            0.015488,           0.0092773,           0.0092773,           0.0092773
                  75,             0.12995,            0.056328,            0.010504,             0.46603,             0.26269,             0.25007,            0.096454,             0.12035,            0.037031,            0.015473,           0.0092674,           0.0092674,           0.0092674
                  76,             0.12981,            0.055742,             0.01105,             0.40087,              0.2825,             0.25119,            0.097075,             0.12031,            0.037038,            0.015455,           0.0092575,           0.0092575,           0.0092575
                  77,             0.12977,            0.056382,            0.011206,             0.39664,             0.28435,             0.25198,            0.097498,             0.12026,            0.037052,            0.015439,           0.0092476,           0.0092476,           0.0092476
                  78,             0.13028,            0.055485,             0.01162,             0.46471,               0.265,             0.25199,            0.097656,             0.12022,            0.037088,            0.015408,           0.0092377,           0.0092377,           0.0092377
